Respondent,Hobby,OpenSource,Country,Student,Employment,FormalEducation,UndergradMajor,CompanySize,DevType,YearsCoding,YearsCodingProf,JobSatisfaction,CareerSatisfaction,HopeFiveYears,JobSearchStatus,LastNewJob,AssessJob1,AssessJob2,AssessJob3,AssessJob4,AssessJob5,AssessJob6,AssessJob7,AssessJob8,AssessJob9,AssessJob10,AssessBenefits1,AssessBenefits2,AssessBenefits3,AssessBenefits4,AssessBenefits5,AssessBenefits6,AssessBenefits7,AssessBenefits8,AssessBenefits9,AssessBenefits10,AssessBenefits11,JobContactPriorities1,JobContactPriorities2,JobContactPriorities3,JobContactPriorities4,JobContactPriorities5,JobEmailPriorities1,JobEmailPriorities2,JobEmailPriorities3,JobEmailPriorities4,JobEmailPriorities5,JobEmailPriorities6,JobEmailPriorities7,UpdateCV,Currency,Salary,SalaryType,ConvertedSalary,CurrencySymbol,CommunicationTools,TimeFullyProductive,EducationTypes,SelfTaughtTypes,TimeAfterBootcamp,HackathonReasons,AgreeDisagree1,AgreeDisagree2,AgreeDisagree3,LanguageWorkedWith,LanguageDesireNextYear,DatabaseWorkedWith,DatabaseDesireNextYear,PlatformWorkedWith,PlatformDesireNextYear,FrameworkWorkedWith,FrameworkDesireNextYear,IDE,OperatingSystem,NumberMonitors,Methodology,VersionControl,CheckInCode,AdBlocker,AdBlockerDisable,AdBlockerReasons,AdsAgreeDisagree1,AdsAgreeDisagree2,AdsAgreeDisagree3,AdsActions,AdsPriorities1,AdsPriorities2,AdsPriorities3,AdsPriorities4,AdsPriorities5,AdsPriorities6,AdsPriorities7,AIDangerous,AIInteresting,AIResponsible,AIFuture,EthicsChoice,EthicsReport,EthicsResponsible,EthicalImplications,StackOverflowRecommend,StackOverflowVisit,StackOverflowHasAccount,StackOverflowParticipate,StackOverflowJobs,StackOverflowDevStory,StackOverflowJobsRecommend,StackOverflowConsiderMember,HypotheticalTools1,HypotheticalTools2,HypotheticalTools3,HypotheticalTools4,HypotheticalTools5,WakeTime,HoursComputer,HoursOutside,SkipMeals,ErgonomicDevices,Exercise,Gender,SexualOrientation,EducationParents,RaceEthnicity,Age,Dependents,MilitaryUS,SurveyTooLong,SurveyEasy
640,Yes,No,Bahrain,No,Employed full-time,"Bachelor・E・Es degree (BA, BS, B.Eng., etc.)","Another engineering discipline (ex. civil, electrical, mechanical)",Fewer than 10 employees,Designer;Front-end developer;Mobile developer;QA or test developer,6-8 years,6-8 years,Moderately satisfied,Moderately satisfied,Working in a different or more specialized technical role than the one I'm in now,"I・E・Em not actively looking, but I am open to new opportunities",Less than a year ago,7,2,3,8,9,5,10,4,1,6,1,11,3,4,9,8,10,7,5,2,6,2,1,4,3,5,1,4,6,3,2,7,5,My job status or other personal status changed,NA,NA,Monthly,NA,NA,NA,One to three months,"Taken a part-time in-person course in programming or software development;Received on-the-job training in software development;Taught yourself a new language, framework, or tool without taking a formal course","The official documentation and/or standards for the technology;Questions & answers on Stack Overflow;Online developer communities other than Stack Overflow (ex. forums, listservs, IRC channels, etc.);The technology・E・Es online help system",NA,NA,Agree,Agree,Disagree,Java;Objective-C;Swift,C#;Java;Objective-C;SQL;Swift,SQLite,SQL Server;MySQL,IBM Cloud or Watson;iOS,Android;Apple Watch or Apple TV;iOS;Mac OS,NA,NA,Visual Studio;Visual Studio Code;Xcode,MacOS,2,Agile;Scrum,Git;Subversion;Zip file back-ups,Multiple times per day,No,NA,NA,Somewhat agree,Somewhat agree,Somewhat disagree,Clicked on an online advertisement,5,3,4,6,2,1,7,Algorithms making important decisions,Algorithms making important decisions,Nobody,I'm excited about the possibilities more than worried about the dangers.,No,Depends on what it is,The person who came up with the idea,Unsure / I don't know,10 (Very Likely),Multiple times per day,Yes,Less than once per month or monthly,"No, I didn't know that Stack Overflow had a jobs board",Yes,NA,Yes,Somewhat interested,Somewhat interested,Very interested,Extremely interested,Very interested,Between 5:00 - 6:00 AM,5 - 8 hours,Over 4 hours,Never,NA,I don't typically exercise,NA,NA,"Bachelor・E・Es degree (BA, BS, B.Eng., etc.)",NA,NA,NA,NA,The survey was an appropriate length,Somewhat easy
642,Yes,Yes,India,No,Employed full-time,"Master・E・Es degree (MA, MS, M.Eng., MBA, etc.)","Computer science, computer engineering, or software engineering",20 to 99 employees,Back-end developer,0-2 years,0-2 years,NA,Extremely dissatisfied,Doing the same work,I am actively looking for a job,Between 1 and 2 years ago,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Indian rupees (・E・Eｹ),NA,Monthly,NA,INR,"Google Hangouts/Chat;Office / productivity suite (Microsoft Office, Google Suite, etc.)",NA,Taken an online course in programming or software development (e.g. a MOOC),NA,NA,NA,NA,NA,NA,Assembly;PHP;HTML;CSS,Java;PHP;HTML;CSS,SQL Server;MySQL,NA,NA,NA,NA,NA,PHPStorm;Zend,Windows,1,NA,NA,Multiple times per day,Yes,Yes,I wanted to support the website I was visiting by viewing their ads,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,A few times per week,Yes,I have never participated in Q&A on Stack Overflow,"No, I didn't know that Stack Overflow had a jobs board","No, and I don't know what that is",NA,Yes,NA,NA,NA,NA,NA,Between 6:01 - 7:00 AM,9 - 12 hours,1 - 2 hours,NA,NA,3 - 4 times per week,Male,NA,NA,NA,NA,NA,NA,The survey was too long,Somewhat difficult
643,Yes,No,Romania,"Yes, full-time",Employed full-time,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",NA,"10,000 or more employees",Back-end developer;Front-end developer;Mobile developer,3-5 years,3-5 years,Moderately satisfied,Moderately satisfied,Working as a founder or co-founder of my own company,I am not interested in new job opportunities,Between 2 and 4 years ago,10,8,4,2,5,9,6,1,7,3,1,10,6,7,9,3,5,4,8,11,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,My job status or other personal status changed,Euros (・E・Eｬ),2700,NA,NA,EUR,Confluence;Facebook;Jira,One to three months,"Received on-the-job training in software development;Taught yourself a new language, framework, or tool without taking a formal course;Participated in online coding competitions (e.g. HackerRank, CodeChef, TopCoder);Participated in a hackathon","The official documentation and/or standards for the technology;A book or e-book from O・E・EReilly, Apress, or a similar publisher;Questions & answers on Stack Overflow;Online developer communities other than Stack Overflow (ex. forums, listservs, IRC channels, etc.)",NA,"To improve my general technical skills or programming ability;To improve my knowledge of a specific programming language, framework, or other technology;Because I find it enjoyable",Agree,Disagree,Strongly disagree,Java;JavaScript;PHP;SQL;Swift;TypeScript;HTML;CSS,Go;R;Scala,MongoDB;MySQL;PostgreSQL;MariaDB,Elasticsearch,Android;iOS;WordPress;Firebase,AWS,Angular;Node.js;React;Cordova;Spring,Hadoop;React;TensorFlow,Android Studio;IntelliJ;PHPStorm,Windows,2,Agile;Scrum,Git;Subversion,Once a day,Yes,I'm not sure/I can't remember,NA,Strongly agree,Somewhat agree,Strongly disagree,Saw an online advertisement and then researched it (without clicking on the ad),1,5,4,6,7,3,2,Increasing automation of jobs,Increasing automation of jobs,Prominent industry leaders,I'm excited about the possibilities more than worried about the dangers.,Depends on what it is,"Yes, but only within the company",Upper management at the company/organization,Yes,10 (Very Likely),A few times per week,Yes,Less than once per month or monthly,"No, I knew that Stack Overflow had a jobs board but have never used or visited it","No, I have one but it's out of date",NA,Yes,Very interested,Extremely interested,Very interested,Extremely interested,Extremely interested,Between 9:01 - 10:00 AM,9 - 12 hours,1 - 2 hours,Never,NA,1 - 2 times per week,Male,Bisexual or Queer,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",White or of European descent,25 - 34 years old,No,NA,The survey was an appropriate length,Somewhat easy
645,No,No,United States,No,Employed full-time,"Bachelor・E・Es degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",100 to 499 employees,Back-end developer;DevOps specialist;Front-end developer;Full-stack developer;Product manager,9-11 years,3-5 years,Moderately satisfied,Moderately satisfied,Working as a product manager or project manager,"I・E・Em not actively looking, but I am open to new opportunities",Between 1 and 2 years ago,6,9,5,4,1,2,7,3,10,8,1,7,2,10,4,3,9,11,8,5,6,1,3,5,2,4,3,6,5,4,2,7,1,I did not receive an expected change in compensation,U.S. dollars ($),70000,Yearly,70000,USD,"Office / productivity suite (Microsoft Office, Google Suite, etc.);Other chat system (IRC, proprietary software, etc.)",Three to six months,"Taken an online course in programming or software development (e.g. a MOOC);Received on-the-job training in software development;Taught yourself a new language, framework, or tool without taking a formal course;Contributed to open source software","The official documentation and/or standards for the technology;Questions & answers on Stack Overflow;Online developer communities other than Stack Overflow (ex. forums, listservs, IRC channels, etc.);Tapping your network of friends, family, and peers versed in the technology",NA,NA,Agree,Neither Agree nor Disagree,Strongly disagree,C#;JavaScript;SQL;VB.NET;HTML;CSS,C#;JavaScript;SQL;CSS,Redis;MySQL;Amazon Redshift;Amazon RDS/Aurora,MongoDB;Redis;MySQL;MariaDB;Amazon RDS/Aurora;Google BigQuery,AWS,AWS;Google Cloud Platform/App Engine,NA,.NET Core;Node.js,Visual Studio;Visual Studio Code,Windows,1,Agile;Pair programming;Scrum,Git;Subversion,Multiple times per day,No,NA,NA,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Stopped going to a website because of their advertising,2,1,6,5,3,7,4,"Evolving definitions of ""fairness"" in algorithmic versus human decisions",Increasing automation of jobs,A governmental or other regulatory body,I'm excited about the possibilities more than worried about the dangers.,Depends on what it is,Depends on what it is,Upper management at the company/organization,Yes,10 (Very Likely),A few times per week,Yes,Less than once per month or monthly,"No, I didn't know that Stack Overflow had a jobs board","No, and I don't know what that is",NA,No,Somewhat interested,Not at all interested,Not at all interested,Very interested,Very interested,Between 5:00 - 6:00 AM,5 - 8 hours,30 - 59 minutes,Never,Standing desk;Fatigue-relieving floor mat;Ergonomic keyboard or mouse;Wrist/hand supports or braces,Daily or almost every day,Male,Straight or heterosexual,"Bachelor・E・Es degree (BA, BS, B.Eng., etc.)",White or of European descent,25 - 34 years old,No,No,The survey was an appropriate length,Somewhat easy
646,Yes,Yes,Sri Lanka,"Yes, part-time",Employed full-time,"Bachelor・E・Es degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",100 to 499 employees,Mobile developer,3-5 years,0-2 years,Extremely satisfied,Extremely satisfied,Working as a founder or co-founder of my own company,I am not interested in new job opportunities,Less than a year ago,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,My job status or other personal status changed,NA,50000,Monthly,3900,LKR,NA,Three to six months,NA,NA,NA,NA,Agree,Neither Agree nor Disagree,Agree,Java;Objective-C;Swift,Java;Objective-C;Python;Swift,MongoDB;MySQL,MongoDB;MySQL,Android;iOS,Android;Arduino;AWS;iOS;Raspberry Pi,NA,TensorFlow,Android Studio;Sublime Text;Xcode,MacOS,2,Agile;Scrum,Git,Multiple times per day,Yes,Yes,The website I was visiting forced me to disable it to access their content;The website I was visiting asked me to disable it,Strongly disagree,Somewhat disagree,Neither agree nor disagree,Stopped going to a website because of their advertising,NA,NA,NA,NA,NA,NA,NA,"Artificial intelligence surpassing human intelligence (""the singularity"")",Increasing automation of jobs,The developers or the people creating the AI,I'm excited about the possibilities more than worried about the dangers.,No,"Yes, and publicly",Upper management at the company/organization,Yes,10 (Very Likely),Multiple times per day,Yes,I have never participated in Q&A on Stack Overflow,Yes,"No, I have one but it's out of date",10 (Very Likely),Yes,Somewhat interested,Very interested,Very interested,Extremely interested,Very interested,Between 6:01 - 7:00 AM,Over 12 hours,3 - 4 hours,1 - 2 times per week,Standing desk,I don't typically exercise,Male,Straight or heterosexual,Primary/elementary school,South Asian,18 - 24 years old,No,NA,The survey was too long,Neither easy nor difficult
647,Yes,No,Colombia,No,Employed full-time,"Professional degree (JD, MD, etc.)","Computer science, computer engineering, or software engineering",Fewer than 10 employees,"C-suite executive (CEO, CTO, etc.);Full-stack developer;Mobile developer",18-20 years,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10 (Very Likely),Daily or almost daily,Yes,A few times per week,"No, I didn't know that Stack Overflow had a jobs board","No, and I don't know what that is",NA,I'm not sure,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
651,Yes,Yes,India,"Yes, full-time",Employed full-time,"Master・E・Es degree (MA, MS, M.Eng., MBA, etc.)","Computer science, computer engineering, or software engineering",10 to 19 employees,Back-end developer;Designer;Front-end developer,24-26 years,0-2 years,NA,Extremely satisfied,Working as a product manager or project manager,I am actively looking for a job,Less than a year ago,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,4,5,10,3,2,9,7,6,1,11,1,5,4,2,3,NA,NA,NA,NA,NA,NA,NA,A recruiter contacted me,U.S. dollars ($),NA,NA,NA,NA,NA,One to three months,Participated in a full-time developer training program or bootcamp,NA,Immediately after graduating,NA,NA,NA,NA,PHP,PHP,MySQL,MySQL,NA,NA,NA,NA,Sublime Text,Linux-based,1,NA,NA,Multiple times per day,Yes,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,Multiple times per day,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
652,No,No,India,No,Employed full-time,"Bachelor・E・Es degree (BA, BS, B.Eng., etc.)","Another engineering discipline (ex. civil, electrical, mechanical)",10 to 19 employees,Designer;Embedded applications or devices developer,3-5 years,3-5 years,Moderately dissatisfied,Slightly dissatisfied,Working in a different or more specialized technical role than the one I'm in now,I am actively looking for a job,Less than a year ago,7,4,2,10,5,1,8,3,9,6,1,5,6,8,11,4,10,2,7,9,3,2,1,5,4,3,5,2,1,3,6,7,4,I did not receive an expected change in compensation,Indian rupees (・E・Eｹ),350000,Yearly,5479,INR,Google Hangouts/Chat;Slack,One to three months,"Taken an online course in programming or software development (e.g. a MOOC);Taught yourself a new language, framework, or tool without taking a formal course","The official documentation and/or standards for the technology;A book or e-book from O・E・EReilly, Apress, or a similar publisher;A college/university computer science or software engineering book;The technology・E・Es online help system",NA,NA,Agree,Agree,Agree,Assembly;C;Python,C++;JavaScript;Matlab,NA,NA,Android;Arduino;Linux;Raspberry Pi,Android;Linux;Raspberry Pi;WordPress,NA,NA,Atom;Eclipse;Notepad++,Windows,1,Evidence-based software engineering,Git,A few times per week,Yes,Yes,I wanted to support the website I was visiting by viewing their ads,Somewhat agree,Somewhat agree,Neither agree nor disagree,Saw an online advertisement and then researched it (without clicking on the ad);Stopped going to a website because of their advertising,1,3,2,4,6,5,7,Algorithms making important decisions,Algorithms making important decisions,The developers or the people creating the AI,I'm excited about the possibilities more than worried about the dangers.,No,"Yes, but only within the company",The developer who wrote it,Yes,10 (Very Likely),A few times per week,Yes,A few times per month or weekly,"No, I knew that Stack Overflow had a jobs board but have never used or visited it","No, I know what it is but I don't have one",NA,Yes,Extremely interested,Extremely interested,Extremely interested,Extremely interested,Extremely interested,I do not have a set schedule,5 - 8 hours,3 - 4 hours,Never,Wrist/hand supports or braces,3 - 4 times per week,Male,Straight or heterosexual,"Bachelor・E・Es degree (BA, BS, B.Eng., etc.)",South Asian,25 - 34 years old,No,NA,The survey was an appropriate length,Neither easy nor difficult
654,Yes,Yes,United States,"Yes, full-time",Employed part-time,Associate degree,Web development or web design,"10,000 or more employees",Back-end developer;Database administrator;Designer;Front-end developer;Marketing or sales professional;Mobile developer;Student,6-8 years,3-5 years,Slightly satisfied,Slightly satisfied,Working as a founder or co-founder of my own company,I am actively looking for a job,Between 2 and 4 years ago,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,U.S. dollars ($),NA,Weekly,NA,USD,"Facebook;Office / productivity suite (Microsoft Office, Google Suite, etc.);Other chat system (IRC, proprietary software, etc.)",NA,Taken a part-time in-person course in programming or software development;Contributed to open source software,NA,NA,NA,NA,NA,NA,Java;JavaScript;PHP;Python;Ruby;SQL;HTML;CSS,Bash/Shell,MongoDB;SQL Server;MySQL;SQLite;MariaDB,NA,Drupal;Windows Desktop or Server;WordPress,NA,NA,NA,Atom;Notepad++,Windows,2,NA,NA,Once a day,Yes,Yes,The website I was visiting forced me to disable it to access their content;The ad-blocking software was causing display issues on a website;The website I was visiting asked me to disable it,Somewhat agree,Somewhat agree,Strongly disagree,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Depends on what it is,NA,NA,NA,10 (Very Likely),A few times per month or weekly,Yes,A few times per month or weekly,Yes,"No, and I don't know what that is",10 (Very Likely),Yes,Very interested,Very interested,Very interested,Very interested,Very interested,Between 6:01 - 7:00 AM,9 - 12 hours,3 - 4 hours,Daily or almost every day,Fatigue-relieving floor mat,1 - 2 times per week,Male,Straight or heterosexual,NA,NA,18 - 24 years old,NA,No,The survey was too long,Very easy
655,Yes,Yes,United Kingdom,"Yes, full-time",Employed full-time,"Bachelor・E・Es degree (BA, BS, B.Eng., etc.)","Information systems, information technology, or system administration",100 to 499 employees,Back-end developer,3-5 years,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
656,Yes,Yes,Ukraine,NA,Employed full-time,"Master・E・Es degree (MA, MS, M.Eng., MBA, etc.)","Another engineering discipline (ex. civil, electrical, mechanical)",20 to 99 employees,Database administrator;DevOps specialist;System administrator,18-20 years,18-20 years,Slightly satisfied,Slightly dissatisfied,Doing the same work,"I・E・Em not actively looking, but I am open to new opportunities",More than 4 years ago,4,3,8,6,7,10,1,2,5,9,1,11,2,3,5,7,10,8,4,9,6,5,3,4,2,1,3,2,1,4,5,6,7,A recruiter contacted me,U.S. dollars ($),4000,NA,NA,USD,Confluence;Facebook;HipChat;Jira;Slack;Trello,Three to six months,Taken an online course in programming or software development (e.g. a MOOC);Completed an industry certification program (e.g. MCPD),NA,NA,NA,Agree,Disagree,Neither Agree nor Disagree,Perl;PHP;SQL;HTML;CSS;Bash/Shell,Go;Java;JavaScript,MongoDB;Redis;MySQL;PostgreSQL;SQLite;MariaDB;Memcached;Elasticsearch,MongoDB;Redis;MySQL;PostgreSQL;SQLite;MariaDB;Memcached;Elasticsearch,AWS;Azure;Google Cloud Platform/App Engine;Heroku;Linux;Mac OS;Windows Desktop or Server,AWS;Azure;Google Cloud Platform/App Engine;Linux;Mac OS,NA,NA,Vim,MacOS,2,Kanban;Scrum,Git;Mercurial;Subversion;Copying and pasting files to network shares;Zip file back-ups,A few times per week,Yes,No,NA,Somewhat disagree,Somewhat disagree,Somewhat agree,Stopped going to a website because of their advertising,1,4,2,6,5,3,7,Algorithms making important decisions,Increasing automation of jobs,A governmental or other regulatory body,I'm excited about the possibilities more than worried about the dangers.,No,"Yes, but only within the company",Upper management at the company/organization,Yes,8,A few times per month or weekly,I'm not sure / I can't remember,NA,"No, I didn't know that Stack Overflow had a jobs board",NA,NA,No,Somewhat interested,Somewhat interested,Somewhat interested,Somewhat interested,Somewhat interested,Between 10:01 - 11:00 AM,Over 12 hours,Less than 30 minutes,3 - 4 times per week,NA,1 - 2 times per week,Male,Straight or heterosexual,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",White or of European descent,35 - 44 years old,Yes,NA,The survey was too long,Somewhat easy
657,Yes,Yes,Canada,No,Employed full-time,"Bachelor・E・Es degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering","1,000 to 4,999 employees",NA,30 or more years,30 or more years,Slightly satisfied,Slightly dissatisfied,Retirement,"I・E・Em not actively looking, but I am open to new opportunities",Less than a year ago,4,9,5,2,6,8,3,7,10,1,3,6,11,10,5,9,7,1,8,2,4,2,1,5,3,4,4,6,1,2,7,5,3,I saw an employer・E・Es advertisement,Canadian dollars (C$),120000,Yearly,96626,CAD,Jira,Three to six months,Received on-the-job training in software development;Contributed to open source software,NA,NA,NA,Agree,Agree,Agree,C;C++;Python;Bash/Shell,C;C++;Python;Bash/Shell,NA,NA,Linux,Linux,NA,NA,Vim,Linux-based,2,Agile;Extreme programming (XP);Formal standard such as ISO 9001 or IEEE 12207 (aka ・E・Ewaterfall・E・E methodologies);Kanban;Lean;Scrum,Git;Subversion,Multiple times per day,Yes,Yes,The ad-blocking software was causing display issues on a website;I wanted to support the website I was visiting by viewing their ads,Somewhat agree,Somewhat agree,Somewhat agree,NA,1,4,2,5,3,6,7,NA,NA,A governmental or other regulatory body,I'm excited about the possibilities more than worried about the dangers.,No,Depends on what it is,The person who came up with the idea,Yes,9,Multiple times per day,Yes,A few times per month or weekly,Yes,Yes,8,Yes,Somewhat interested,Somewhat interested,Somewhat interested,Somewhat interested,Somewhat interested,Between 5:00 - 6:00 AM,9 - 12 hours,1 - 2 hours,Never,NA,Daily or almost every day,NA,Straight or heterosexual,"Bachelor・E・Es degree (BA, BS, B.Eng., etc.)",NA,NA,Yes,NA,The survey was an appropriate length,Very easy
659,Yes,No,Czech Republic,No,Employed full-time,"Bachelor・E・Es degree (BA, BS, B.Eng., etc.)","Another engineering discipline (ex. civil, electrical, mechanical)","10,000 or more employees",Marketing or sales professional,9-11 years,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Taken an online course in programming or software development (e.g. a MOOC);Participated in a hackathon;Contributed to open source software,NA,NA,NA,NA,NA,NA,C++;Java;PHP;Python;SQL;VBA;HTML;CSS,C++;Java;PHP;Python;SQL;HTML;CSS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
661,Yes,Yes,Brazil,No,Employed full-time,Some college/university study without earning a degree,"Computer science, computer engineering, or software engineering",20 to 99 employees,Full-stack developer,6-8 years,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C#;JavaScript;PHP;Ruby;SQL;TypeScript;HTML;CSS,Clojure;Go;Kotlin,MongoDB;SQL Server;MySQL,SQLite;Elasticsearch,Android;Drupal;Heroku;Linux;Firebase,AWS;Raspberry Pi;WordPress;Firebase,Angular;Node.js;React;Cordova,.NET Core,Android Studio;IntelliJ;Notepad++;Visual Studio;Visual Studio Code,Windows,1,Agile;Kanban;Scrum,Git,Multiple times per day,Yes,Yes,The website I was visiting forced me to disable it to access their content,Strongly agree,Somewhat agree,Neither agree nor disagree,Stopped going to a website because of their advertising,2,3,6,4,7,1,5,"Evolving definitions of ""fairness"" in algorithmic versus human decisions",Algorithms making important decisions,The developers or the people creating the AI,I'm excited about the possibilities more than worried about the dangers.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
662,Yes,No,Bulgaria,"Yes, part-time",Employed full-time,Some college/university study without earning a degree,"A business discipline (ex. accounting, finance, marketing)",20 to 99 employees,Front-end developer,0-2 years,0-2 years,Extremely dissatisfied,Moderately dissatisfied,Working as a founder or co-founder of my own company,"I・E・Em not actively looking, but I am open to new opportunities",Less than a year ago,9,10,7,1,3,4,5,2,6,8,2,6,7,11,4,9,1,8,10,3,5,3,2,1,5,4,2,6,1,5,7,4,3,My job status or other personal status changed,U.S. dollars ($),1000,Monthly,12000,USD,Jira,Three to six months,"Participated in a full-time developer training program or bootcamp;Taught yourself a new language, framework, or tool without taking a formal course;Participated in online coding competitions (e.g. HackerRank, CodeChef, TopCoder)","The official documentation and/or standards for the technology;Online developer communities other than Stack Overflow (ex. forums, listservs, IRC channels, etc.);Internal Wikis, chat rooms, or documentation set up by my company for employees;The technology・E・Es online help system",Six months to a year,To improve my general technical skills or programming ability;Because I find it enjoyable,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,JavaScript;TypeScript;HTML;CSS,Clojure;JavaScript;TypeScript;HTML;CSS,MongoDB,NA,Heroku;Windows Desktop or Server;Firebase,NA,Angular;Node.js;React,Angular;Node.js;React,Visual Studio Code,Windows,2,Agile;Kanban,Git,Multiple times per day,No,NA,NA,Somewhat agree,Somewhat agree,Neither agree nor disagree,Clicked on an online advertisement;Stopped going to a website because of their advertising,3,2,1,7,5,4,6,Algorithms making important decisions,"Artificial intelligence surpassing human intelligence (""the singularity"")",Nobody,I'm worried about the dangers more than I'm excited about the possibilities.,Depends on what it is,"Yes, but only within the company",Upper management at the company/organization,Yes,10 (Very Likely),Daily or almost daily,Yes,I have never participated in Q&A on Stack Overflow,Yes,"No, and I don't know what that is",5,I'm not sure,Very interested,Very interested,Very interested,Very interested,A little bit interested,Between 8:01 - 9:00 AM,5 - 8 hours,1 - 2 hours,1 - 2 times per week,Standing desk,I don't typically exercise,Male,Straight or heterosexual,"Bachelor・E・Es degree (BA, BS, B.Eng., etc.)",White or of European descent,18 - 24 years old,No,NA,The survey was too long,Very easy
